=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
1916, 289, 9, 
1918, 169, 9, 
1921, 144, 9, 
1923, 49, 9, 
1925, 169, 1, 
1927, 400, 9, 
1930, 121, 25, 
1932, 25, 4, 
1934, 16, 0, 
1936, 324, 0, 
1938, 256, 9, 
1940, 289, 4, 
1942, 1, 16, 
1944, 81, 0, 
1946, 169, 1, 
1948, 289, 16, 
1950, 196, 4, 
1952, 4, 9, 
1954, 64, 1, 
1956, 324, 1, 
1958, 400, 16, 
1960, 121, 9, 
1963, 36, 25, 
1965, 169, 4, 
1967, 400, 9, 
1969, 64, 25, 
1971, 169, 0, 
1973, 16, 1, 
1975, 225, 1, 
1977, 289, 1, 
1979, 121, 25, 
1981, 64, 9, 
1983, 64, 0, 
1985, 100, 1, 
1987, 484, 4, 
1989, 81, 36, 
1991, 36, 1, 
1993, 100, 1, 
1995, 196, 4, 
1997, 324, 4, 
1999, 144, 9, 
2001, 1, 9, 
2003, 121, 1, 
2006, 121, 9, 
2008, 196, 9, 
2010, 529, 4, 
2012, 25, 25, 
2014, 196, 0, 
2016, 196, 4, 
2018, 289, 9, 
2020, 196, 16, 
2022, 49, 16, 
2024, 144, 4, 
2026, 324, 4, 
2028, 144, 16, 
2030, 100, 9, 
2032, 9, 0, 
2035, 256, 0, 
2037, 289, 4, 
2039, 100, 16, 
2041, 144, 4, 
2043, 100, 4, 
2045, 169, 4, 
2048, 289, 9, 
2050, 256, 9, 
2052, 4, 16, 
2054, 144, 1, 
2056, 144, 9, 
2058, 289, 4, 
2060, 196, 4, 
2062, 0, 16, 
2064, 196, 1, 
2066, 225, 4, 
2068, 196, 16, 
2070, 225, 4, 
2072, 25, 16, 
2074, 121, 1, 
2076, 256, 4, 
2078, 289, 16, 
2080, 121, 4, 
2082, 64, 1, 
2084, 121, 0, 
2086, 361, 4, 
2088, 144, 25, 
2091, 100, 4, 
2093, 81, 4, 
2095, 1156, 0, 
2097, 64, 100, 
2099, 64, 9, 
2101, 4, 1, 
2103, 25, 16, 
2105, 225, 4, 
2107, 121, 1, 
2109, 64, 0, 
2111, 0, 4, 
2113, 9, 0, 
2115, 784, 4, 
2117, 225, 49, 
2119, 400, 9, 
2121, 0, 16, 
2123, 256, 0, 
2125, 256, 36, 
2127, 144, 9, 
2129, 529, 4, 
2131, 144, 9, 
2135, 121, 0, 
2137, 64, 4, 
2139, 324, 4, 
2141, 100, 9, 
2143, 676, 36, 
2145, 144, 49, 
2147, 196, 0, 
2149, 144, 4, 
2151, 49, 0, 
2153, 81, 1, 
2155, 16, 0, 
2157, 441, 0, 
2159, 121, 4, 
2161, 1, 36, 
2163, 25, 0, 
2165, 121, 9, 
2167, 484, 9, 
2169, 225, 9, 
2171, 9, 1, 
2173, 144, 0, 
2176, 441, 1, 
2178, 100, 36, 
2180, 169, 4, 
2182, 25, 4, 
2184, 25, 1, 
2186, 729, 0, 
2188, 64, 25, 
